#The CSV format is in following way:-
#The day information is available in following format:-
#date,maxtempC,maxtempF,mintempC,mintempF,sunrise,sunset,moonrise,moonset
#
#Hourly information follows below the day in the following way:-
#date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF
#
Not Available
2015-12-29,0,13,56,6,10,282,WNW,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear ,0.0,80,10,1028,4,13,56,10,50,13,55,12,19,13,55
2015-12-29,600,12,53,0,1,121,ESE,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png,Clear ,0.0,85,10,1030,17,12,53,9,49,12,53,1,1,12,53
2015-12-29,1200,16,61,6,10,172,S,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly Cloudy ,0.0,68,10,1032,26,16,61,10,50,16,61,8,13,16,61
2015-12-29,1800,14,57,6,10,182,S,113,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png,Sunny,0.0,79,10,1030,3,14,57,10,50,13,55,11,18,13,55
2015-12-30,19,66,11,53,08:54 AM,06:23 PM,11:44 PM,12:02 PM
2015-12-30,0,15,60,9,15,178,S,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,90,10,1029,89,15,60,14,57,15,60,13,20,15,60
2015-12-30,600,14,56,11,18,195,SSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain nearby,0.1,87,10,1027,88,14,56,11,53,12,54,23,37,12,54
2015-12-30,1200,19,66,15,24,210,SSW,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0009_light_rain_showers.png,Patchy rain nearby,0.1,83,10,1026,91,19,66,16,60,19,66,17,28,19,66
2015-12-30,1800,18,64,15,24,238,WSW,296,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0017_cloudy_with_light_rain.png,Light rain,1.3,92,9,1023,100,18,64,16,62,18,64,19,30,18,64
2015-12-31,17,62,12,53,08:54 AM,06:24 PM,No moonrise,12:33 PM
2015-12-31,0,13,55,5,9,357,N,176,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0025_light_rain_showers_night.png,Patchy rain nearby,0.1,86,10,1025,85,13,55,11,51,12,54,10,17,12,54
2015-12-31,600,12,53,5,8,322,NW,122,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,85,10,1026,91,12,53,9,48,11,51,10,16,11,51
2015-12-31,1200,16,60,3,4,338,NNW,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly Cloudy ,0.1,69,10,1027,45,16,60,10,50,16,60,3,5,16,60
2015-12-31,1800,15,59,2,3,4,N,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly Cloudy ,0.0,76,10,1025,50,15,59,11,51,16,61,2,4,16,61
2016-01-01,20,69,10,49,08:55 AM,06:25 PM,12:39 AM,01:03 PM
2016-01-01,0,11,52,5,8,125,SE,116,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly Cloudy ,0.0,86,10,1023,49,11,52,9,48,10,51,10,15,10,51
2016-01-01,600,14,56,12,19,172,S,266,http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0033_cloudy_with_light_rain_night.png,Light drizzle,0.7,90,2,1020,100,14,56,12,53,12,53,21,33,12,53
